優惠店家名稱,餐廳地址,好康條件,好康類型,好康內容
水果果汁,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
秋雲潤餅,臺北市大同區寧夏路56-38號?(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
爆漿地瓜球,臺北市大同區寧夏路35號,自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
ㄚ米韓式米熱狗,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
阿興現撈海產,臺北市大同區寧夏路35號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
元氣果汁,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
炭烤香腸,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
古早味糖葫蘆,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
FUN SUN雞排,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
寧夏魷魚王,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
甲上仙草蜜冰,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
小巷一沙拉船,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
鴻記蔥餅捲,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
爆漿脆皮魷魚,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
林記古早味冰品(林振櫂燒麻糬),臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
甜蜜紅茶,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
雅米花生捲冰淇淋,臺北市大同區寧夏路29-33號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
詹記水果切盤,臺北市大同區寧夏路27號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
寧夏炭烤鹹酥雞,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
日船章魚小丸子,臺北市大同區寧夏路27號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
爆燒骰子牛,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
冰哨果汁,臺北市大同區寧夏路30號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
彩虹地瓜球,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
古早味愛玉冰,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
發發東山鴨頭,臺北市大同區寧夏路13-25號,自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
魠魠魚羹,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
旺來蛋糕,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
現打西瓜汁,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
柳川明太子烤餅,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
排骨酥,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
阿旺,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
古早味甘蔗汁,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
童年木瓜牛奶,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
里長伯麻辣臭豆腐、鴨血、麵線,臺北市大同區寧夏路22之9號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
李家鄉滷味,臺北市大同區寧夏路27號(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
珍味鹽水雞,臺北市大同區寧夏路(寧夏夜市),自備餐盒,集點,自備餐具到參與活動的店家，外帶消費就可集點，集滿5點能兌換50元折價券，再到參與活動店家折價使用。
